idioma_web,en,es,it,de,
titulo,Rent a Car Mallorca,Rent a Car Mallorca,Noleggio auto Mallorca,Auto mieten Mallorca,
contacto_reservas,Reservation contact,Contacto reservas,Contatto per la prenotazione,Kontakt buchen,
idiomas,Language,Idioma,Lingua,Sprache,
eslogan,Get to know Mallorca…,Conozca Mallorca...,Conoscere Mallorca...,Lernen Sie Mallorca kennen...,
titulo_form,Rent a car,Alquiler de Coches,Noleggia un'auto,Ein Auto mieten,
error_formulario1,"Please try again, sorry for the inconvenience. Thank you.","Reintente, disculpe las molestias. Gracias.","Prova di nuovo, scusa per l'inconveniente. Grazie.","Versuchen Sie es erneut, entschuldigen Sie die Unannehmlichkeiten. Danke!",
error_formulario2,We are sorry to inform you that we do not have any vehicle available for the requested dates. We apologize for the inconvenience. Thank you.,Sentimos informarle que no disponemos de ningún vehículo para las fechas solicitadas. Disculpe las molestias. Gracias.,Siamo spiacenti di informarla che non abbiamo nessun veicolo disponibile per le date richieste. Ci scusiamo per l'inconveniente. Grazie.,"Es tut uns leid, Ihnen mitzuteilen, dass wir für die angefragten Daten kein Fahrzeug zur Verfügung haben. Entschuldigung für die Unannehmlichkeiten. Danke!",
error_formulario3,Incorrect Pickup Date,Fecha Recogida Incorrecta,Data di ritiro errata,Falsches Abholdatum,
error_formulario4,x,x,x,x,
recogida,Pickup:,Recogida:,Ritiro,Abholen,
hora,At :,Hora :,Tempo,Uhrzeit ,
devolucion,Return :,Devolucion :,Ritorno,Rückgabe ,
conductor_experiencia,Driver is 23 years old or older,Conductor tiene 23 años o mas,Il conducente ha 23 anni o più,Der Fahrer ist 23 Jahre alt oder älter,
edad_conductor,Driver's age,Edad del conductor,Età dell'autista,Alter des Fahrers,
ver_precios,View prices,Ver precios,Vedere i prezzi,Siehe Preise,
informacion,Information,Información,Informazioni,Informationen,
copyright,@lvaro Ruiz WEB ,@lvaro Ruiz WEB ,@lvaro Ruiz WEB ,@lvaro Ruiz WEB ,
idioma_italiano,Italiano,Italiano,Italiano,Italienisch,
idioma_espanol,Español,Español,Inglese,Englisch,
idioma_aleman,Deutsch,Deutsch,Deutsch,Deutsch,
idioma_ingles,English,English,Español,Español,
idioma_frances,Français,Français,Français,Französisch,
bandera_italiana,bandiera tedesca,bandiera tedesca,bandiera tedesca,tedesca-Flagge,
bandera_espanola,bandera española,bandera española,Bandiera spagnola,Spanische Flagge,
bandera_alemana,deutsche flagge,deutsche flagge,deutsche flagge,deutsche Flagge,
bandera_inglesa,english flag,english flag,bandiera inglese,englische Flagge,
bandera_francesa,drapeau français,drapeau français,drappeggio francese,drapeau français,
ofertas_encontradas_titulo,Show Offers found,Muestra Ofertas encontradas,Esempi di offerte trovate,Beispielangebote gefunden,
datos_busqueda,Search data,Datos busqueda,Dati di ricerca,Daten suchen,
cambiar,Change,Cambiar,Cambia,Ändern,
desde,from,desde,da,von,
titulo_ofertas,O F F E R S,O F E R T A S,O F F E R T A S,O F F E R T A S,
aviso_edad1,Drivers aged 18 to 22 ,Es posible que los conductores de 18 a 22,Ai conducenti di età compresa tra i 18 e i 22 anni ,Bei Fahrern zwischen 18 und 22 Jahren ,
